"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.811394759618297,0.206381353883605,0.79455595234725,10,0.0117680126356538,0.77358985175518,1.47404621676168,0.756688979162502,0.636548611788649,0.626091140255729,2500
"2",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.83417229476952,0.11285667764616,0.831371775284582,10,0.018136183983648,0.790738837517391,1.1937095302304,0.548288826845796,0.929130876092121,0.920774629719459,2500
"3",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.359237435732932,1.3041537283195,0.054261527769398,10,0.00876805803315618,0.786187624240335,1.34071949385117,0.678778388133219,0.805349430776008,0.796798180495448,2500
"4",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.784331026480897,0.0402222879745214,0.781320039846225,10,0.0187173172091833,0.793227663000476,1.45664220418244,0.738272609627691,0.696488213280776,0.695647400722314,2500
"5",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.633528994319691,0.233026289040408,0.632564241657643,10,0.0207302229509747,0.781714709075805,1.41441142427018,0.720783469145688,0.727622879864529,0.713765425051171,2500
"6",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.596428181638075,0.382029578582161,0.566951924384197,10,0.0208540104867156,0.799222806786055,1.34631674474116,0.631918639507849,0.818273593232212,0.808584063887767,2500
"7",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.79803517643799,0.536805928856651,0.416175995867604,10,0.0443404298051171,0.702891656809331,1.31398405684547,0.747670345524466,0.770489459185478,0.759235324252536,2500
"8",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.0227399122715271,1.43946202617251,0.0225534910734124,10,0.0171517492857225,0.802051637992036,1.43678876081434,0.694013646036995,0.720385607237784,0.715330357410854,2500
"9",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.363814107714356,0.649970281144118,0.363521194447804,10,0.011829539674858,0.836989300956079,0.898663864434865,1.70816171027661,0.601999801691026,0.604261486076054,2500
"10",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.91563790557034,0.0339037934192772,0.915562567701741,10,0.0133566793125674,0.764563178311391,1.51995893618993,0.77336726782254,0.605101341685141,0.609354106396036,2500
"11",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.555417301247958,1.21159402940091,0.135208833310855,10,0.0100640673515763,0.709371197032167,1.28938001549681,0.590885780999669,0.857034437364565,0.852742912703787,2500
"12",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.981419017561482,0.260404276082055,0.64830871023069,10,0.00710440727870319,0.752130391441102,1.41788073889966,0.719413701873174,0.721559689028621,0.734293988375088,2500
"13",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,1.19031557667765,1.19956884924274,0.0442239939033905,10,0.00705222569891999,0.469349671985044,1.32200513161614,0.540090707413839,0.851088301302448,0.809240859749951,2500
"14",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.497702942464239,1.04483511329765,0.188485857488897,10,0.0180224249479103,0.733047978136558,1.30235506381826,0.616755313501298,0.877301858332007,0.863701416086424,2500
"15",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.449162622045456,0.965196574797855,0.0814990389875905,10,0.0102905612359028,0.792930028353923,1.24295630787443,0.494550874370498,0.918643970943552,0.91236160994237,2500
"16",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.225364922827385,0.989139595570945,0.221372222288146,10,0.0143429878647455,0.806543559360806,0.872047367376955,1.78928425307183,0.612364820860921,0.616544015496856,2500
"17",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.204172995029475,1.20616638549424,0.203614477103052,10,0.0167270484005263,0.80308871943172,1.0024765663261,2.3892685482609,0.883665803758706,0.869166185208766,2500
"18",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.326322237343605,0.971220595900783,0.231498892240907,10,0.0155413530906288,0.77962116482778,1.28106519961306,0.58118330608335,0.892458993704341,0.891501529035437,2500
"19",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.75542896145897,0.00957584098636742,0.72083817530584,10,0.0135046668375323,0.799658019534281,1.14522563236976,0.442776379827913,0.96374258984804,0.964255521117182,2500
"20",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.86846034598902,0.0630318315689389,0.822256319070803,10,0.00826250663635352,0.801759035597268,1.53712247359778,0.774280044480965,0.578350550737005,0.58836704188078,2500
"21",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.824099041005989,0.36849910217199,0.696793742946595,10,0.0135119375437675,0.742979810522733,0.85044982767948,1.7034480978257,0.534748575888976,0.529100442398182,2500
"22",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.291878805599116,1.06887198716499,0.182760961245061,10,0.0133929065229778,0.801925514492469,0.904206706777641,2.16028270661108,0.652383292924812,0.618675046720031,2500
"23",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.845072572221125,0.0642196953892174,0.828342777798398,10,0.0190807355578787,0.752718491347082,1.32349566688741,0.564159113041301,0.84443867956985,0.820334900944468,2500
"24",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.815486682669739,0.23187547961177,0.796381575174501,10,0.0102961794301712,0.762065097106712,1.3819908038451,0.575362915193756,0.813371353396799,0.797272246234266,2500
"25",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.576382023555292,0.557553469973372,0.443751780388418,10,0.00538704694343308,0.858730754895654,1.20721091974636,0.578074673349634,0.92449775033856,0.924827037702696,2500
"26",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.741467534100876,0.226240803331902,0.694535463787497,10,0.0128634999010555,0.773097591104284,1.33485862106648,0.733783377820898,0.754054688548054,0.744532135405993,2500
"27",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.222497938221785,1.09442899678967,0.193990192533865,10,0.0115317584864546,0.837059002698118,0.908443004947885,2.04265373320686,0.734602533603367,0.720604458257537,2500
"28",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.13873251191705,1.19281193308444,0.137765071817301,10,0.0191643598588963,0.833393340355686,1.01490887925771,1.9422901395911,0.832381800953778,0.815328635455897,2500
"29",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.66060428012823,0.590532488245424,0.519570912913012,10,0.00968998745938202,0.775390305294253,1.23995129212399,0.524510930395291,0.918420698581483,0.950173061853056,2500
"30",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.833419639987394,0.825271208889934,0.350773098503666,10,0.0251843021209776,0.674887640946047,1.18577877970868,0.47817929179848,0.954884313123834,0.949327036747974,2500
"31",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.680653356486601,0.291801784391221,0.644777409781438,10,0.0135572646877725,0.791436403961032,1.35165919366261,0.601459509170894,0.836499318772323,0.828183308217086,2500
"32",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.112358827835738,1.16499605551013,0.101074494124467,10,0.0179288972900845,0.837542475562597,1.27289719815898,0.643377303531377,0.861687571659522,0.855528646140608,2500
"33",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.389188214731023,0.643046150596843,0.360727077771255,10,0.0437477796252207,0.833711294728572,1.37398493634331,0.636743392613731,0.81063519597001,0.815059054804111,2500
"34",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.317542784844421,1.13107543289832,0.142591870664146,10,0.016632490805095,0.822790585232347,1.17681066844944,0.474309170602042,0.949564941455886,0.938184725453342,2500
"35",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.454834585323772,0.784313404522717,0.375748185972565,10,0.0131251527475985,0.802694539984835,1.1756946024618,0.542360570518917,0.963570122497194,0.970765424155713,2500
"36",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.633068473995369,0.601615012427597,0.392995414497325,10,0.00880134981334756,0.802248632634547,1.56855983654196,0.788061102268269,0.605476368160464,0.602379225735117,2500
"37",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.0563120745677779,1.29082535905157,0.0216440402268661,10,0.0219342917906653,0.80883275707032,1.37579294551852,0.668166168641234,0.757366939108344,0.737139971517072,2500
"38",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.0639471600865786,1.53557692824095,0.0423181146104259,10,0.0143891567090118,0.792294411453375,1.1890392013078,0.475484767943427,0.938703038290397,0.944760832535541,2500
"39",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.83470068835543,0.000656473617361842,0.834681974857678,10,0.012330690253693,0.79366051360141,1.30065737197691,0.680626048793316,0.796405554703087,0.766341117750221,2500
"40",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,1.36721719462709,0.212813532876272,0.792834425863894,10,0.00701961851693652,0.630052027366894,0.981449439595322,2.94052213852548,0.829961462514913,0.805401760071328,2500
"41",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.344582628322006,0.834759219443887,0.342901326601055,10,0.0131911758179291,0.842424363650423,1.2637058973903,0.563759067196616,0.875389199288142,0.86276632502755,2500
"42",0.5,1,0.25,10,0.01,0.75,1.5,0.75,0.65,0.65,0.286612494741157,0.955881447248813,0.278166791636489,10,0.0133710558574342,0.807878708582195,1.3837592991363,0.649053618816538,0.801653016199472,0.803589776260402,2500
