"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.493153027954785,0.684457610969537,0.465125164710112,10,0.0162467997171667,0.787797090942937,2.98107834108717,0.450717022205303,0.858673001351112,0.855050121089502,6250
"2",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.020495743751557,1.26857267987235,0.0204732027277474,10,0.010297133237216,0.882658779027821,2.89427763013059,0.518337818791552,0.867842125137647,0.898946835773121,6250
"3",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.0484200431339981,1.36759502579734,0.0463616008205149,10,0.0134992956229865,0.857661358679685,2.93925317208697,0.447189891575487,0.895442660756235,0.934617361700942,6250
"4",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.573415530277537,1.21348960464802,0.0605460807448986,10,0.0104894645525381,0.687447369999505,2.93418492579934,0.528282419959501,0.843511797900519,0.824822740704666,6250
"5",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.0541358902866467,1.19924637207982,0.0511296373723366,10,0.0116496017646941,0.801002129937917,3.06645342749439,0.524672116590247,0.808469808695364,0.777678334024697,6250
"6",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.581297005960518,0.972535167849398,0.267297932009397,10,0.00923872450104669,0.72578069167796,3.02894874743521,0.509690662022547,0.844365112947855,0.839855857064243,6250
"7",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.562551411522247,0.562105220846348,0.513382760584517,10,0.00879687513598469,0.789240688421586,3.04745146170866,0.512366817920794,0.847382574592177,0.841707610168721,6250
"8",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.0384718176773911,1.23231187124254,0.0378077791133591,10,0.0176905841280426,0.816114674717827,3.08638198402245,0.519088043563396,0.838915040751243,0.813206976653165,6250
"9",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.354882957066244,1.06265389329596,0.177319616188189,10,0.0100818905453044,0.786545315851891,3.04909464539675,0.500615754244069,0.854938215254197,0.862257732233092,6250
"10",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.0913318745549416,1.25833733377046,0.0880580424386327,10,0.0167541769464848,0.879976060897596,2.87486020236303,0.502530547021611,0.866271486164616,0.893450481899163,6250
"11",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.907822248624226,0.0127647154837704,0.866356361811528,10,0.0118652603854764,0.758175966519114,2.93775523642928,0.493624404628112,0.848562391570302,0.836551925424515,6250
"12",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.837728667780603,0.307591567268481,0.828405245322488,10,0.0120262217749618,0.799656230321621,3.10103538887702,0.4962938805149,0.875680525879716,0.900771087506349,6250
"13",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.0385625345237646,1.14494676732475,0.0290653203675958,10,0.0145100974695912,0.955971994022708,2.87891598409322,0.533026379511919,0.829795984600691,0.876475564947533,6250
"14",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.413721878791987,0.762535360552601,0.411917325523529,10,0.0107542577532547,0.885475506460138,2.91493396392553,0.493774076287099,0.843743890850753,0.898809418328709,6250
"15",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,1.41983275123,1.30838428256055,0.000115016998761145,10,0.00305793358628715,0.503469541245306,3.02396945539902,0.495468932523857,0.838643582822829,0.858783660427507,6250
"16",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.118563519550628,1.1474864728734,0.114090605724291,10,0.0132877545043616,0.817467198826615,3.05191531781705,0.526470094296402,0.835511749466771,0.830408592760317,6250
"17",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,2.53747339221227e-05,1.34483390751826,2.53747292596482e-05,10,0.0133693904468265,0.844320242712903,3.01409969459315,0.505170418744718,0.853369040115326,0.86316491548458,6250
"18",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.0212275511680727,1.16672115704809,0.0211291149160978,10,0.0180900287345677,0.807289780692839,2.95462761394084,0.420616476501244,0.87177700371272,0.827566688800951,6250
"19",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.90905122320948,0.400973885451004,0.684605341134961,10,0.0138674113800385,0.743763229169133,2.85875932771088,0.441456699566108,0.890836209422683,0.913562432803123,6250
"20",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0,0,0,0,0,0,0,0,0,0,6250
"21",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.382126295881032,0.802797781684019,0.382102246287472,10,0.0136875079967335,0.822961307596969,2.92447189244801,0.443836758348633,0.88147411140473,0.886958693691949,6250
"22",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,6.32100438920663e-06,1.09037379795258,6.27531350259205e-06,10,0.01224138877958,0.994879522574308,2.87579780055326,0.519567239915727,0.830431055895453,0.890433144387316,6250
"23",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.278230083032077,1.03023604460276,0.269442843899984,10,0.0151156738216756,0.836504384552579,2.86775369653264,0.479287306801291,0.876202288388931,0.910105257356791,6250
"24",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.659701234867791,0.515420301371033,0.563093255629556,10,0.00903507624613606,0.756899261748452,3.03234263078424,0.499509066973991,0.842564621807211,0.82759510894895,6250
"25",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,1.25441605734473,1.07695898911832,0.129394153083546,10,0.00467890196865838,0.533741932383486,3.01778748834907,0.427952397910772,0.856816893225607,0.843053708125777,6250
"26",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.452819488540307,1.13424860817136,0.159703200009744,10,0.0128445700755956,0.771555201733675,2.97220026065173,0.486802267732992,0.872251693765892,0.902598940256199,6250
"27",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.346977172909712,0.792151129002579,0.346610057341921,10,0.0127329092409888,0.814079204581894,3.00597953465027,0.495112543433256,0.843306383683596,0.838482894009244,6250
"28",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.374731931105721,0.817084573610224,0.266656071277805,10,0.0191181184332422,0.792489638586821,3.30274259553368,0.596458545697458,0.770095622331409,0.758797813097159,6250
"29",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.606361351564491,0.56395644725077,0.548780429754896,10,0.0106165657927664,0.74341835437297,3.08387525363175,0.507646108702704,0.840365505523411,0.815005767026377,6250
"30",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.694219563501859,1.08420991468001,0.288735779019963,10,0.0112441473642799,0.753705617157241,2.89741052595902,0.571971608391557,0.879792120383567,0.923639605057069,6250
"31",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.664902733190858,0.785988398428881,0.385220980189786,10,0.022093205391205,0.792402631951957,2.67805356152566,0.460771807282493,0.890293501301414,0.89524984977398,6250
"32",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.786447889434514,0.734280137598706,0.281966889878344,10,0.00617725469160177,0.61463793697777,3.07108772565467,0.460365957090066,0.824516018001807,0.741570307449834,6250
"33",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.411800485037165,0.68341291868677,0.364506800283191,10,0.0108589792821209,0.704892982409803,2.91622400935522,0.433221671625645,0.840949785263567,0.741595804178902,6250
"34",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.65095322915673,0.989803146504412,0.321303839533678,10,0.00876359502960918,0.696745294781747,3.00420268308665,0.505659834222643,0.817607466476578,0.811167640384442,6250
"35",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.128315312229865,1.17535672873859,0.127312052700994,10,0.0126762340369474,0.800867337036714,2.98401250695234,0.48432024613817,0.850226521644289,0.828983298444754,6250
"36",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,1.62913907552835,1.03993294004009,0.327622176600936,10,0.0170563241230537,0.509725955442823,2.71829123569571,0.3854366818386,0.867481540138968,0.909091062643592,6250
"37",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,1.42483639260705,0.852617207110342,0.105952432412833,10,0.20795276423132,0.503771736941487,2.90769355164146,0.452258285449863,0.878049366499494,0.880817131016639,6250
"38",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.467336956415596,1.40422168239056,0.0265717811190577,10,0.0118484017665782,0.73588333240502,2.96750825091852,0.500331384973073,0.841183089449833,0.873661622422983,6250
"39",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.00098047401165917,1.1775387066197,0.00098045289966411,10,0.0159610162777424,0.808777014944274,3.00780313346584,0.47762551889434,0.846146261641964,0.811514653078699,6250
"40",0.5,1,0.25,10,0.01,0.75,3,0.5,0.85,0.85,0.298671986797463,0.88598335392392,0.28919142910289,10,0.0134672463976114,0.814983891870732,3.06055745875409,0.504169697537224,0.839922331673673,0.843981829901403,6250
