"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,1.02956111179116,0.000641756362249069,0.940028739960538,10,0.00619050051310037,0.998215024880006,1.31177447817482,0.46020846084252,0.778778324966425,0.838446459087364,400
"2",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.973835453782404,0.0170540362020724,0.892506155445896,10,0.00667386703900015,0.955462119000058,1.60942828991742,0.58901861282161,0.502645838300277,0.562935421479352,400
"3",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.644265463078892,6.03338591586585e-05,0.643895496528197,10,0.0204142554790103,0.996261743388244,1.48253202137247,0.619300010724764,0.590712050701789,0.732426762018544,400
"4",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.763349009903596,1.07866053393337,0.074419248073497,10,0.0032595719980118,0.995694679380561,1.1652544068725,0.377135640059615,0.826739564432717,0.852161700250846,400
"5",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.660556701472013,0.688541293360307,0.657626713900728,10,0.00928185823451706,0.81732931908647,1.67262887475296,0.480425339167462,0.736572709099837,0.759343165867297,400
"6",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,1.01276542102686,0.321557691364568,0.496287765063667,10,0.00531580161802306,0.761130598724802,1.27455085799323,0.542737915207477,0.715689573190988,0.656147891115615,400
"7",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.0592660733245432,1.31283969516008,0.0547445276941152,10,0.0117822544102957,0.990428889598506,1.44875938189452,0.502612711307071,0.611231854586186,0.662146359643606,400
"8",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.834656876912383,0.104146247594459,0.831247159703733,10,0.0161705011635047,0.693064705491433,1.55553260417038,0.493308762344919,0.562431234471387,0.564663958905968,400
"9",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.289715006368809,1.3936251832828,0.000380035492663774,10,0.0328360731745931,0.651251676800886,1.24640315663425,0.387050376688489,0.863119173480077,0.897271858759997,400
"10",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.56395138169348,0.440415213060938,0.515671382182839,10,0.0211482829437826,0.714826769329257,1.61885809381386,0.532890951299554,0.587284340304065,0.575771793707613,400
"11",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.547712034758533,0.734116231196194,0.49977332633512,10,0.0298781870608158,0.663132820498933,1.32695633337297,0.474755808251192,0.725676432534792,0.690709754473908,400
"12",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.201403337185271,1.39591159615715,0.201403324911056,10,0.0151884027795105,0.782453401119379,0.615679782778904,1.67378564871631,0.500682859902687,0.484046770739083,400
"13",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.181758476982316,1.04162207125859,0.177770139488812,10,0.0160796023374389,0.799772420404334,0.647685011037586,2.27719946646022,0.602409280504899,0.580331794307292,400
"14",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.827678961787776,0.659542469802968,1.66811982394377e-05,10,0.171856731535335,0.36367821577256,1.3446543806154,0.440131848433198,0.757288934092263,0.691902710558842,400
"15",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.409920135103197,0.526593253919921,0.40971995234052,10,0.017931939288524,0.670865126820674,1.46152698066352,0.401915702608868,0.719454895270938,0.604052104206277,400
"16",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.117500254175329,1.01128841084004,0.113512100744107,10,0.0307123644788092,0.780839683117294,1.28022974177342,0.491346764154376,0.713742417296895,0.658688104367542,400
"17",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.576136210152225,0.543356929462776,0.524611543503573,10,0.0122616985054703,0.737469217393772,0.60124624785568,2.07485454981777,0.663988991516318,0.68100750759575,400
"18",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.56514214113171,0.620609209538193,0.565140605015223,10,0.028786646040196,0.676697736873491,0.605073951581509,1.68149241104972,0.544345647751423,0.509575759847669,400
"19",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.454158510574874,1.11589197716716,0.0718500511098661,10,0.00753739118799347,0.739012232705979,1.21138437856739,0.338003974698378,0.84118601085967,0.732604575378539,400
"20",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.767110758669094,0.233781367452702,0.766380557461641,10,0.0217681640012859,0.702352998021388,1.36546168735885,0.509612112092636,0.700668855907632,0.773360596746297,400
"21",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.191507623107272,0.883838394816529,0.168739286123214,10,0.0209143700653706,0.973246812367246,0.639947573956966,1.88768468146614,0.583571592578741,0.501359180730291,400
"22",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.469823210585563,1.11332923526707,0.0956886606838193,10,0.010506170359362,0.606956487501186,1.70756461773918,0.531559948355224,0.543852596024744,0.535310349387813,400
"23",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.685437024410758,1.1548944605698,0.346326584799218,10,0.00430731365997121,0.999789310379992,0.622500617935348,1.69591242851278,0.506254075911836,0.46854791947343,400
"24",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.732339351812929,0.068805037903816,0.494441432131873,10,0.101631178170269,0.596589027337479,1.5763363038248,0.577910686885498,0.555159825769555,0.550335663372791,400
"25",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.627511303150564,0.780694146247979,0.616890947075204,10,0.00582286461005945,0.934619329896656,0.667716762620957,2.53055077338898,0.705787310312343,0.69235897069425,400
"26",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.305676499616025,0.832710446088551,0.305593043154198,10,0.0156787004783187,0.821530933571593,1.24603589718868,0.482586477181035,0.731313606313399,0.75557345086363,400
"27",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.516134295185275,0.951885645250601,0.188059624544779,10,0.00523965707916287,0.927495469318108,1.69908446368305,0.505082589600758,0.538672958876905,0.524931090608699,400
"28",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.34870481289226,0.868979270223779,0.348484447253596,10,0.00736342116391069,0.931885159478258,0.534729147691516,1.78927854090326,0.515504224249693,0.512482990349305,400
"29",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.0317156436397898,1.01471290938817,0.0317136285003835,10,0.0376525267046222,0.765634034492456,0.581838697063798,1.63987424508608,0.50175403243415,0.534617340585796,400
"30",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.836752751651365,0.485388723317384,0.778120847507865,10,0.00647595344919331,0.996520604852834,0.640918123186628,1.8988484981064,0.560991381277709,0.46914923156334,400
"31",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,1.00425155474585,0.0649744645115737,1.0034367729789,10,0.00853082577175004,0.786720051748246,1.37623732915231,0.483790157720423,0.739078504979867,0.732097841445511,400
"32",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.356681624895788,1.30356538052425,0.271716711616835,10,0.00454760118284555,0.980622474556006,1.58909134479728,0.594413294558433,0.507514009623438,0.551485833641496,400
"33",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.601322234291877,0.634759730970457,0.539584158162384,10,0.00945637446265127,0.780014218184962,0.733449735899817,3.52476614039974,0.819881303564408,0.790006470872009,400
"34",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.501911309678818,1.18571116601035,0.340950628656624,10,0.00650118427325819,0.971294546177347,1.23509315181674,0.434031815636321,0.743431651262791,0.72790158242799,400
"35",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.000291612247127686,1.29971528470243,0.000291576486923043,10,0.0112450496165683,0.995322552206958,1.42338280221657,0.503086218628125,0.703191311459503,0.741155611664284,400
"36",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.953797034394884,0.00408531560083196,0.905023263900788,10,0.0182355763074527,0.724260131499784,1.42501592308016,0.545776315569002,0.631930980395685,0.688524174528099,400
"37",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.607293096522053,3.1516247259778e-05,0.607285172315992,10,0.0208007668103017,0.797016236570785,1.49130002340579,0.462688959021665,0.678174882800072,0.612071275277711,400
"38",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.635322428931885,0.338721697069775,0.579244279548928,10,0.0224810356250533,0.783288033533866,1.5712008480464,0.519480564381464,0.619929157305959,0.677771323670894,400
"39",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.409089717496956,1.03567304674112,0.405357247149503,10,0.0256073387679068,0.659598135756516,1.12525281669125,0.478584348065161,0.847463912513286,0.804027247241058,400
"40",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.565035140317138,0.633176146552384,0.546960505244657,10,0.00923444820949138,0.966103321400488,0.606858334132379,1.98856447991727,0.56192915227485,0.488450668823524,400
"41",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,1.15409287813016,0.000705654195669151,1.15403604781292,10,0.0049917743310656,0.956265579062768,1.69820370001066,0.533610602948202,0.500002275546996,0.604335523194137,400
"42",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,1.01940342119847,7.58729209261576e-06,1.01940325746759,10,0.00660108370354468,0.956136660097244,0.680892396892618,1.82394053735288,0.607641756655179,0.580623203791459,400
"43",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.35010166732768,1.05402292743671,0.328905500050586,10,0.00687366313670523,0.992401963553448,0.666201464921624,1.66796966060585,0.521005454735162,0.538228444623707,400
"44",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.353042379715251,0.563762521247134,0.317796371304349,10,0.0269984666725343,0.79743026632966,0.693010194907249,2.44859510992836,0.723474010908762,0.711862295124601,400
"45",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.84495798243513,0.268009562586405,0.77175024702915,10,0.0299877661429306,0.558574622810351,1.3929059459504,0.492039537697539,0.681541998657306,0.621218961337613,400
"46",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.772150939275427,0.715605764864493,0.355828087449611,10,0.00819652567032452,0.481337545604371,1.26871799455171,0.400731274642939,0.743751406419534,0.687151607467132,400
"47",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.774692144784996,0.763375390750737,0.614573763006214,10,0.00888444356555483,0.771511031960158,1.54413863476186,0.525911804315599,0.689116472516421,0.765195368338545,400
"48",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.654042028354124,0.518017691462521,0.625870704536577,10,0.0153811264316414,0.822090166991587,0.623419000458532,1.84110378729176,0.664777458611232,0.615839268988785,400
"49",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.629582662888748,0.79490030863778,0.603527998042853,10,0.0570522033297752,0.524527156237008,1.51924792339909,0.472333886743261,0.667860254646222,0.660260578852468,400
"50",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.831056527731174,0.0766560540264401,0.611759819713447,10,0.0424211229437549,0.766024137645176,1.13539140723293,0.533482138056644,0.88698445475133,0.99234064170138,400
"51",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,1.01072703706712,0.111230039048587,0.855492003530356,10,0.00571868758325973,0.813109748444584,1.74923941359444,0.502477436018274,0.514687603907306,0.531944037080103,400
"52",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.300805803938084,1.04524157590248,0.300804617884905,10,0.00595077733510129,0.997476351625617,1.72083911748554,0.501283894841032,0.500081147170186,0.457837931971475,400
"53",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.320137613467527,0.722409520613902,0.319880714978884,10,0.00925873099910741,0.961798500324783,0.649091806659692,1.75726125400217,0.528667851108228,0.518496755244951,400
"54",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.386129442016277,1.10297201185236,0.385475850906627,10,0.00782097928181918,0.911290295710082,1.3421810498194,0.502773766921187,0.693716604121831,0.715708550148273,400
"55",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.403941990417988,0.555597475870239,0.401784443094115,10,0.0106741921946419,0.999299594935781,1.26410706103169,0.421110626039738,0.77916369583175,0.789641730102551,400
"56",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.045831708018593,1.18817411780716,0.0458281868373337,10,0.0210452442998485,0.684214414229845,0.662578071065899,2.42860851395339,0.725985568775017,0.728556203910394,400
"57",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.549234506977613,0.784531071716488,0.547324003402931,10,0.0106957182567045,0.860267883505327,0.595673398558225,1.84607801304934,0.519559336472335,0.464481607306062,400
"58",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.351412957032572,1.51026412930926,0.0539068904612991,10,0.012351316633132,0.741495344258721,1.34761079360633,0.416578130255173,0.832556338998796,0.85437243202503,400
"59",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.945110265711336,0.00925540294933082,0.945076472287276,10,0.0232618710076655,0.588318644741015,0.54972458481753,1.75432505554484,0.553331672089231,0.546733418946299,400
"60",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.607734972384279,0.843030590690061,0.419185725300871,10,0.0111206091281046,0.670536597656192,1.35317873347814,0.418574589909388,0.731871619843092,0.668061183839613,400
"61",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.185583164522755,0.876351979062708,0.0973328055929815,10,0.0137345414297325,0.599044305891478,1.49031978872795,0.453857738543435,0.637423086481739,0.475729045471467,400
"62",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.785099587370652,0.409952543373571,0.769868657393879,10,0.0133926804130549,0.787614056734767,0.646924286550066,1.94397648962108,0.574262107979561,0.499182762694517,400
"63",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.256368535329498,1.19434789606357,0.238123885046372,10,0.0124213134885547,0.96100531497669,1.6387434493565,0.552705098709775,0.53052599304551,0.562184305659689,400
"64",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.976682528739596,0.439682263295585,0.491921324939183,10,0.0115524684111015,0.724968604897857,1.2110028828541,0.43060412608391,0.839486621090045,0.821291239963064,400
"65",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.892325353581335,0.226001941570111,0.853543196342747,10,0.0184028688001156,0.70265970293971,1.21311078773232,0.470224137891776,0.824663432074907,0.889443008013152,400
"66",0.5,1,0.25,10,0.01,0.75,1.5,0.5,0.65,0.65,0.404486290508541,1.01017254484927,0.230994797232267,10,0.010500311099035,0.858305127015974,1.44768064865093,0.475852286262884,0.716762051623793,0.740557986679487,400
