"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.512589482210668,1.22766839836183,0.0038660218711586,10,32.956939890123,0.0632834542321096,1.56743955048182,4.31255519501155,0.996138644606435,0.982360922697121,400
"2",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.791748490013219,0.886551253339563,0.31694748456822,10,222.325068042904,0.0292789778510834,1.4011273473729,2.47761442473333,0.830496539129152,0.905755220184922,400
"3",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.538693393341774,1.26542465609844,0.00692781233864059,10,80.4525162290295,0.0424251688776017,1.33469986844971,2.961779066148,0.961268830444108,0.976502078161963,400
"4",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.566433692892355,0.957594602355308,0.182990196734716,10,2.18209325582943,0.150768046688743,1.92968393095634,0.990781145150313,0.664588533625061,0.650218712265692,400
"5",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.74949111595337,0.926732220949054,0.352184636815019,10,0.148304521361404,0.0587623066862196,1.45285083201543,0.624514503547426,0.879450733519095,0.851517431059506,400
"6",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.590498501810916,1.23335691916017,0.0198011283097991,10,13.5147704835332,0.00878119405274639,1.25145227016986,5.67058938698793,0.917611808719902,0.945011374647875,400
"7",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.548125375531159,1.15544601297317,0.0395038501272148,10,0.539530638452719,0.0275277141549868,1.24722672482982,4.49656619103131,0.995615834136719,0.92436385233587,400
"8",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.637428180594076,1.07741705215004,0.164654920097612,10,222.135707232655,0.0212317728584365,1.54879724925629,0.932119774688525,0.820776788749935,0.779928960084158,400
"9",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.763112927609668,0.887868581781061,0.338955335163076,10,155.531758772195,0.0235752836295114,1.3393826104468,1.05076479612721,0.768610843035949,0.802884587664543,400
"10",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.706628688023563,0.877529191855903,0.25101899371682,10,16.5949257159635,0.0843248991097088,1.08086604022222,2.08915313571889,0.539111757934402,0.565528356599796,400
"11",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.738910485292646,0.817871732315621,0.334039800221494,10,9.76513467969719,0.0437388320647969,1.71642612459793,0.647311280359086,0.882440955153142,0.866043903837388,400
"12",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.71154090113035,0.956573082254762,0.189321556242834,10,6.43693909922994,0.0722454174798738,1.5426911427484,0.748236384072538,0.902688504340124,0.855051639875568,400
"13",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.58915574910778,0.909263917805817,0.186463213938425,10,9.64916942309024,0.15674447005696,1.91375116604069,0.809790939124503,0.802608702685596,0.810728035069662,400
"14",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.666503944158147,0.682982167892359,0.302477919474802,10,33.3600570527022,0.127303141507053,1.37095931824893,5.30015923706104,0.904218199565589,0.913302177559965,400
"15",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.669996772445516,1.02685140477785,0.240564729966642,10,0.173377251940524,0.0609454258845521,1.40781663724256,0.507227332703642,0.981496774407998,0.998371039311205,400
"16",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.552459667912819,0.960899320905764,0.259328917040352,10,0.322227627792228,0.193152963280141,1.07198976202017,1.76584158397604,0.594514808601003,0.550725880796556,400
"17",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.742865385565283,0.990498371116222,0.248843532061878,10,116.851975389869,0.0261704821179339,1.58770023582385,0.993448491947666,0.812782663762439,0.775020262541282,400
"18",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.6485327632832,0.976951351134022,0.243002418014828,10,23.4981179745601,0.0972762392501388,1.78915614912547,0.903098370578425,0.827550939625876,0.793126430142972,400
"19",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.56244635728977,1.09557776744479,0.0483190900573366,10,32.6398666959067,0.0380746803175169,1.47028847797971,1.09991181098166,0.933664473175164,0.858945828727878,400
"20",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.320801024338831,1.01410601357077,0.17604365436473,10,0.0946762030605089,0.30597045888925,1.33022276210553,8.39001861917091,0.916807965465912,0.803262741106002,400
"21",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.478644355465185,0.72160245141574,0.386292247388951,10,0.0209048071833151,0.349968214689065,1.44496920961511,1.11997723568293,0.746151934350521,0.652630655153464,400
"22",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.661430205560779,0.618208581328582,0.302828184015561,10,8.16691083678695,0.124495334602295,1.74197942215901,0.781561763884425,0.876574085919585,0.841537779386545,400
"23",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.763768116994631,0.781896232342503,0.450144614574973,10,1.06294725747146,0.0724785619846589,1.60936539896061,0.77736604815856,0.799417691243573,0.831830213774288,400
"24",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.709253739803317,0.865343508165456,0.284598066051435,10,13.9252200305637,0.0482880810658821,1.58772962432061,2.56705278433139,0.844509309913357,0.725559332757282,400
"25",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.6032256351502,1.27481419434435,0.175014682176947,10,1.05175777428653,0.0307288734998388,1.36436178835337,0.740360626334508,0.869426095760975,0.851986110890254,400
"26",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.539328249541565,0.954096994574963,0.261554055938698,10,0.0151414082893875,0.206563136137669,1.31983403209014,3.42232808023523,0.976479025701077,0.994982365065915,400
"27",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.51849077281764,0.876111056298486,0.35678454714193,10,0.0489768723008987,0.242316168190389,1.44304138423456,2.53723361456359,0.99206145406022,0.958832411657923,400
"28",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.712583548901441,0.904130063701367,0.271308849782812,10,1.33195837210288,0.122360961905617,1.60554311677356,0.649967836260798,0.83194875412072,0.897864023070219,400
"29",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.704432317461915,0.997472611246684,0.227063470693332,10,138.480810839655,0.051784416162965,1.5631218857891,0.89743834062972,0.957048082090103,0.928384362288916,400
"30",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.703881485634286,0.872370668376597,0.274260189804859,10,2.44415974114618,0.0983972524002317,1.65524916834412,0.888748268546386,0.592962189865479,0.600066732767922,400
"31",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.660992485268439,0.872810142163446,0.198897183617546,10,13.9589721008698,0.0852475218531665,1.51591953396789,0.957175604149508,0.958623003664294,0.901135262796935,400
"32",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.533982134574643,0.936482592464095,0.162825181678061,10,3.88858562638703,0.208301525060299,1.56563718286384,0.530792068624063,0.968075291877431,0.970676814825161,400
"33",0.5,1,0.25,10,0.01,0.25,1.5,0.75,0.85,0.85,0.634525482182361,0.802530415824229,0.274482824911772,10,16.6937647807959,0.0726517342237389,1.61890331399199,0.868837855050814,0.799738693855174,0.735686339311272,400
