"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.672892496873043,0.728899348953062,0.391164604886655,10,0.548084868352488,0.118418459769767,2.06401287672608,0.612990951666549,0.876234313566911,0.821208804958626,400
"2",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.698926192526952,0.915720203204318,0.254779986745347,10,2.08353188247743,0.0505927441711439,2.38277435973994,0.895995703480626,0.796976218154559,0.783364302233342,400
"3",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.602133786307074,0.733996889489704,0.272497004636352,10,0.164683691437182,0.293856901264366,1.86511683728825,0.630737634806683,0.934292907626026,0.935632747981736,400
"4",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.408030827150733,0.825166754277489,0.306902879677385,10,0.122430167541324,0.390086474476013,1.61028800309088,5.7240671657455,0.969526547040173,0.973895333619885,400
"5",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.422676657334132,1.09494974134596,0.129806044161713,10,0.166251077914465,0.26395449937119,2.02826641995027,0.900215990261182,0.803490102697899,0.80860511441805,400
"6",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.706860981682826,0.588723361475976,0.579051020852667,10,0.128686066564051,0.239783583478071,2.00236645355124,0.831657620775063,0.755200157156764,0.758572391352225,400
"7",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.619565629161881,1.00472767702785,0.251923664724612,10,10.2752935909065,0.13578725453855,2.30754489476816,0.772739026881086,0.829152130134954,0.811956867141994,400
"8",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.531402333410187,1.10798941776291,0.187105992081023,10,0.151173664342111,0.218821265360433,1.42400789319769,2.77770734044891,0.655258607870847,0.619006964061756,400
"9",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.733592327996329,1.03867239605145,0.295527524226976,10,13.9991495113946,0.0677588840029205,1.98904061336731,0.715572617738711,0.894063151359654,0.820165299353527,400
"10",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.487266142820762,1.0832535439577,0.0903042374119957,10,0.888625303215857,0.215269667071871,1.43786630682538,3.49954468134737,0.665736395623247,0.652596587913216,400
"11",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.518783272583598,0.911692473679973,0.114263093135371,10,6.78159485378789,0.217341274474211,2.41330886654036,0.63109953282834,0.897855858877755,0.837908217341285,400
"12",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.627986924169745,0.774723626966091,0.253427263132697,10,0.40531037189748,0.269172364557541,1.99648793877908,0.721116935309494,0.911403315151238,0.930337166142543,400
"13",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.44408271072523,1.0620046071248,0.17282665215267,10,0.172424363053472,0.273195746656491,2.09824580950874,0.60436459760188,0.849667215942345,0.851814469358828,400
"14",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.734808997441154,0.671075720695646,0.466529405689234,10,0.131245100716095,0.212517231963461,1.96214103560828,0.824773094604908,0.82538753594453,0.8261999885262,400
"15",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.660852233282188,0.784122898331966,0.277826383266166,10,1.92280169431126,0.175724250153115,2.06959917248747,0.694583764491789,0.907840642841488,0.88251819838111,400
"16",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.620976824171081,0.658229500782316,0.32257087734609,10,0.862574285946577,0.268176258508532,2.17991740775231,0.675915942850824,0.910206642752356,0.894817503297153,400
"17",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.625824207967228,0.885564746589134,0.301390081010484,10,0.702481313712817,0.191868852717047,2.08735221337043,0.786782520383472,0.853139255489468,0.823712157059948,400
"18",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.620075195845883,1.1248153728406,0.202563826790192,10,2.51661153463804,0.134603793228226,2.42369382623491,0.811097805675372,0.73869483312423,0.742016368215387,400
"19",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.540001551166958,0.741836317017605,0.243202474270753,10,3.74261865209673,0.270436569361242,2.66665892864935,0.730426079027593,0.855147150570386,0.841920823083127,400
"20",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.544620167402075,0.951915821557915,0.195242045209517,10,0.214035149772413,0.217660930887973,1.91306282344067,0.597117670629179,0.948275939808092,0.981075436983975,400
"21",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.283966775878275,1.2085938108491,0.000374405197854361,10,0.152006098217706,0.26156818569586,1.84047391528567,0.381864226457905,0.970604544503388,0.891846912714429,400
"22",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.482306309749995,0.891830773969452,0.168951607960782,10,0.288103991896524,0.281043155405817,2.05284283961895,0.942166904865274,0.817103485787259,0.797804969495012,400
"23",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.644974995315873,1.19119108340716,0.109547864441351,10,40.2978173951203,0.0831418600032914,2.05554136678507,0.995178346929654,0.74472528907518,0.739966912036008,400
"24",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.683881057075465,0.976990748734172,0.267140531438774,10,10.7894695732291,0.0775150530578236,2.13562996209515,0.706942780903992,0.844298558419728,0.81033917891225,400
"25",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.611167889102363,0.749089974000226,0.335924616919788,10,0.186502813946833,0.268128055010498,1.90561166360597,0.680117430639046,0.917781248089194,0.936375223634459,400
"26",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.814426416866229,1.03006227097743,0.340188482032811,10,23.252955838004,0.0325352063547539,2.16340913524485,0.811683566777205,0.776220949219829,0.802684910043836,400
"27",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.491206595866068,0.725332870139551,0.254618356061724,10,0.222058283889211,0.34424268339537,1.97445367361236,0.749170100441954,0.908984529245214,0.902705983201677,400
"28",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.686176263934531,1.17613986447681,0.222172525391453,10,3.43534227585177,0.0640191454308252,2.19126908854383,0.713393522897917,0.852289294738678,0.862108617864529,400
"29",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.507217773180443,1.03262580906117,0.109489054303541,10,0.255967779654469,0.293176497172624,1.9487472466556,0.847008989894532,0.884380648064241,0.919123642253142,400
"30",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.84832666117323,0.526364252118191,0.59747029928463,10,0.328406728738178,0.172774513466593,2.10139442901734,0.740414283249648,0.804640083060009,0.820272875386403,400
"31",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.438017768353641,0.711520276739084,0.201417458600036,10,0.239723502270155,0.340584822905168,2.20940008574741,0.913125022106635,0.712170998441595,0.734636572046371,400
"32",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.675282206555149,0.861000656180292,0.434346505507978,10,0.128745717395843,0.174345843824345,1.89485831865768,0.751547996092897,0.880014535554074,0.86420958931321,400
"33",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.65085435843787,1.13573000094321,0.205785195137994,10,1.11071821579133,0.0902009007643801,2.09108434320017,0.883634904742257,0.738598759657042,0.754094869333736,400
"34",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.731621173961825,1.0270810338765,0.332989767346814,10,73.7638377117686,0.0873069070594409,1.69177063432454,3.65778355620849,0.763204151876742,0.79702166597872,400
"35",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.548692852253867,0.927833251474745,0.265908273442923,10,0.182145514487397,0.266392844776752,1.90016162960689,0.570597634526981,0.924006750616892,0.929289847459967,400
"36",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.741608462740311,0.782105733622963,0.407817304712267,10,9.30208733703162,0.0957697078604681,2.44032597994643,1.01192220080343,0.784113238472739,0.781268515113834,400
"37",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.638833093496142,0.647338756821328,0.310247968408328,10,1.73385029873663,0.233498021259092,2.16189770605134,0.694634276890632,0.810488462193373,0.814952537667144,400
"38",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.477050837626596,0.699407611656879,0.315399108715773,10,0.147607282370764,0.362441692107257,1.92699857832179,0.83124975542255,0.890778152499024,0.887146230492141,400
"39",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.493111061296921,0.860944195980034,0.32036968248252,10,0.136987244445684,0.365767558575733,2.09163751419488,0.822446444750828,0.810379877411494,0.817946028137499,400
"40",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.417918635220764,0.876275843312338,0.360460176382813,10,0.0792956526360971,0.343674966296826,2.09839831636796,0.898751185199111,0.74800336651336,0.740982179873553,400
"41",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.406230968859764,0.828942050008708,0.126007275853766,10,0.457936598464522,0.371796812181945,1.99572517755309,0.80147090735323,0.863577562793642,0.88441532922423,400
"42",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.651281436880183,0.731026769279687,0.344526952628929,10,0.29831389920306,0.188672615414733,2.14278240841711,0.746437552750385,0.834903701426027,0.81224800298017,400
"43",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.866055581235458,0.482870755914972,0.465241449990229,10,8.6915747613008,0.153823719364035,2.43794093740955,1.18124101944971,0.717245210052419,0.726201963618222,400
"44",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.642064835778193,1.20781032271179,0.193681503064142,10,2.92390703116121,0.0155089169520284,2.01509684230603,0.551448426270081,0.969231887102273,0.97591461660769,400
"45",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.433207056860174,1.1335075772968,0.182941376935768,10,0.149338177661235,0.340397526233245,1.90880336539447,0.604594709729384,0.931840914252862,0.956734907074928,400
"46",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.702501433454803,0.980879064841059,0.360259897116185,10,0.0814568384241709,0.147913710411498,1.10469865437715,2.97264991375058,0.602084415630999,0.575632483260054,400
"47",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.292991005321206,1.04268710203701,0.0198358297602954,10,0.305695905286407,0.412872499587892,1.76919951635543,0.467588920294984,0.956418614815013,0.974762878118358,400
"48",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.54781812853207,1.2520137120427,0.0878506343621972,10,13.8403287717172,0.107632767988723,2.02641777426836,0.947941934993588,0.842084552745425,0.866616305090111,400
"49",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.703818749891354,0.733999069429486,0.508054651114424,10,0.108258008496695,0.227024585449652,2.04816919306903,0.891340820116074,0.885009923952609,0.94822887588766,400
"50",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.64073548681468,1.00944796950215,0.213468991246639,10,4.41077270880958,0.123290946224595,2.23955859453253,0.77054088355253,0.832145610686698,0.861800284360594,400
"51",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.641035641430329,0.93631925002893,0.271744862573302,10,0.210229967037457,0.122615055695527,2.24875226057609,0.893063539263505,0.669644207749725,0.611520476650972,400
"52",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.515104455863602,0.988891018335136,0.322637747625042,10,0.0975402146332228,0.237968233995251,1.24115353361235,3.58331857250593,0.593770898894126,0.592144582462332,400
"53",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.552738735465027,1.00761725970476,0.164582451302896,10,0.944080087624633,0.191218078619109,2.14464745680383,0.770332176333377,0.851616293870955,0.85385610809649,400
"54",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.774423420947607,0.895564253202354,0.351098292135291,10,3.915497061768,0.0848531809027928,2.24849171389954,0.676020249936802,0.872788263990008,0.893141430450432,400
"55",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.459929301132976,0.855092087830687,0.13503119225123,10,0.343636826466338,0.37578605629098,2.37915733569777,1.13630375676193,0.625632486560674,0.698483449494743,400
"56",0.5,1,0.25,10,0.1,0.25,2,0.75,0.85,0.85,0.670838048559787,1.05580069962479,0.291717700468162,10,27.8497768564657,0.0687287615096878,1.90158801425707,0.763282241707152,0.871235048965516,0.829866097063711,400
