"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.5,1,0.25,10,0.01,0.75,2,0.270838108776757,1.30056750414461,0.0217881391139505,10,0.0137351487081926,0.687296144029412,1.87818092317238,400
"2",0.5,1,0.25,10,0.01,0.75,2,0.47950577268847,1.22728727766093,0.125716688118284,10,0.00808705771379532,0.758360175453484,1.9047323402994,400
"3",0.5,1,0.25,10,0.01,0.75,2,0.383458203785806,1.19945127923311,6.38083870883824e-05,10,0.0095641547112008,0.750644633227572,1.99505556516382,400
"4",0.5,1,0.25,10,0.01,0.75,2,0.484765444562697,0.983172993274114,0.295793656260974,10,0.00815256592518516,0.836730717829672,1.9678933469269,400
"5",0.5,1,0.25,10,0.01,0.75,2,0.555396236669858,1.07018587051148,0.203558765264468,10,0.00779684170836882,0.752664463906876,2.06440596591786,400
"6",0.5,1,0.25,10,0.01,0.75,2,0.386384185103778,1.15769381770189,0.0908396219669883,10,0.0126426426239292,0.715233254757554,1.95913272399216,400
"7",0.5,1,0.25,10,0.01,0.75,2,0.826251577825465,0.598161052233067,0.54448267325941,10,0.00880400826129108,0.699175390454589,1.96991459585848,400
"8",0.5,1,0.25,10,0.01,0.75,2,0.355073203963033,1.42632724243027,0.00429824474804393,10,0.00675066830242325,0.807169991268376,2.04562935881621,400
"9",0.5,1,0.25,10,0.01,0.75,2,0.367269959355095,1.3854333834868,5.59867738388589e-05,10,0.00629434763787785,0.864175397289503,2.07296682148432,400
"10",0.5,1,0.25,10,0.01,0.75,2,0.558136296342036,1.02355114946443,0.312972264095003,10,0.00921482049873585,0.732830282475863,2.04032102484622,400
"11",0.5,1,0.25,10,0.01,0.75,2,0.422166186929674,1.26045714759928,0.0361370081201858,10,0.0102838858427125,0.708743273424091,2.01013125079064,400
"12",0.5,1,0.25,10,0.01,0.75,2,0.648395544971641,0.760957552234476,0.313887299253293,10,0.00511118932113778,0.984601374986441,2.1013205780228,400
"13",0.5,1,0.25,10,0.01,0.75,2,0.506903394340612,0.993978611293076,0.203989805961471,10,0.0123394688948316,0.692207312784856,2.0126784552253,400
"14",0.5,1,0.25,10,0.01,0.75,2,0.514644398106744,0.798767070732392,0.358194653408284,10,0.0209519555382188,0.631626885453176,1.99136961204702,400
"15",0.5,1,0.25,10,0.01,0.75,2,0.376730791461441,1.25201418694362,0.0123661498761818,10,0.014907386416058,0.634796883170252,2.02761890798059,400
"16",0.5,1,0.25,10,0.01,0.75,2,0.491524139059008,0.91497039853661,0.324321215204498,10,0.013317579621181,0.728673589659276,2.00350844874498,400
"17",0.5,1,0.25,10,0.01,0.75,2,0.499014673084406,0.935320929315117,0.252396989742632,10,0.014346546428574,0.706209979864032,2.00327380573173,400
"18",0.5,1,0.25,10,0.01,0.75,2,0.314359371301308,1.4093128933457,0.00182510121265774,10,0.0105351826821941,0.771623806709014,2.02596547150469,400
"19",0.5,1,0.25,10,0.01,0.75,2,0.51019543780194,1.03670185530457,0.163271450252399,10,0.00771761174377286,0.779154842193601,1.9686277895812,400
"20",0.5,1,0.25,10,0.01,0.75,2,0.400220279965589,1.10321461017341,0.145766237376477,10,0.00936595913006045,0.778847468879807,1.96790765543782,400
"21",0.5,1,0.25,10,0.01,0.75,2,0.596317487939982,0.731015570114372,0.449693787706602,10,0.0121898064747113,0.69407968050639,2.0175554299883,400
"22",0.5,1,0.25,10,0.01,0.75,2,0.48694510792674,1.10435189430414,0.261026027909655,10,0.00553654004964022,0.981904231704343,1.90705881224265,400
"23",0.5,1,0.25,10,0.01,0.75,2,0.663274781997191,0.621631406017768,0.457149950573588,10,0.00598864600811125,0.928967643734076,1.97794741376202,400
"24",0.5,1,0.25,10,0.01,0.75,2,0.511776387830251,1.0937921938118,0.243113692801266,10,0.00506513462244137,0.970486900578116,2.03015435682058,400
"25",0.5,1,0.25,10,0.01,0.75,2,0.589627034151102,1.08974994173144,0.192665868844839,10,0.00888459977336057,0.712301723199975,2.0313669966433,400
"26",0.5,1,0.25,10,0.01,0.75,2,0.48437280063709,1.0348458702719,0.268436257130248,10,0.0125261031536651,0.71723023294224,1.92943220160187,400
"27",0.5,1,0.25,10,0.01,0.75,2,0.566815618027554,0.796994744759364,0.34959772456302,10,0.00700939685067394,0.915428797766668,1.90089556440286,400
"28",0.5,1,0.25,10,0.01,0.75,2,0.601117867799167,0.881244457178072,0.364026282237362,10,0.0101959785829161,0.719463276134228,1.93449095622703,400
"29",0.5,1,0.25,10,0.01,0.75,2,0.543281327519535,0.994640027501435,0.191932315527552,10,0.00761162844909197,0.833796000450234,1.91188020614115,400
"30",0.5,1,0.25,10,0.01,0.75,2,0.542196690866204,1.11400322955057,0.233746238726288,10,0.0128597603563284,0.599830343706216,2.09489409256174,400
"31",0.5,1,0.25,10,0.01,0.75,2,0.419785742968514,1.2521686877331,0.000219374726873111,10,0.0109674709929862,0.722216890280403,1.88804156192777,400
"32",0.5,1,0.25,10,0.01,0.75,2,0.650852266623222,0.80652842451947,0.391228741276775,10,0.00699699406860192,0.848293409267812,1.91450638644968,400
"33",0.5,1,0.25,10,0.01,0.75,2,0.612026819723364,0.607046754382889,0.611416989795334,10,0.01202291437652,0.772667093028696,1.98593225814665,400
"34",0.5,1,0.25,10,0.01,0.75,2,0.485556017671062,1.13670483586188,0.21609108584019,10,0.00941271251070883,0.720568127273238,2.11472491402909,400
"35",0.5,1,0.25,10,0.01,0.75,2,0.496045881454874,1.14441899589451,0.136214850446489,10,0.0116768765658269,0.70370569411445,2.00898784379144,400
"36",0.5,1,0.25,10,0.01,0.75,2,0.388954313553657,1.21079161399718,0.239608403739404,10,0.00983600109539288,0.7642709418341,2.03496552545792,400
"37",0.5,1,0.25,10,0.01,0.75,2,0.449569365498265,0.890995256827,0.262827673135191,10,0.0129754707753193,0.723013524149232,2.06017604246228,400
"38",0.5,1,0.25,10,0.01,0.75,2,0.488952838585563,0.994954408815789,0.231528557860986,10,0.0111994479390478,0.727999672272931,1.96796963221568,400
"39",0.5,1,0.25,10,0.01,0.75,2,0.559687967209064,1.110950780087,0.124793138644966,10,0.00919681475128581,0.677780263105142,2.01053040552052,400
"40",0.5,1,0.25,10,0.01,0.75,2,0.460188314828505,0.776237937187365,0.364148446511843,10,0.0109038455197971,0.844830012578629,2.08688129159563,400
"41",0.5,1,0.25,10,0.01,0.75,2,0.460455138011495,1.1433182862305,0.17148521780443,10,0.00937852390829286,0.787538436228283,1.90544219721036,400
"42",0.5,1,0.25,10,0.01,0.75,2,0.537998143641799,0.914915099003185,0.223861032367374,10,0.00504981112929964,0.987397888431193,2.06331069026692,400
