"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"ABratio",0.922953832495348,0.922934062895612,0.00374224440860108,0.915677735492722,0.930367409095496
"baseline[1]",-13.1884811398037,-13.5552562029519,1.71094195174712,-16.1807181410966,-9.82578203975577
"baseline[2]",9.16056928412519,9.53486682831897,1.71406087929485,5.79465596947921,12.176188878849
"baseline[3]",0.272152135229934,0.27185293669614,0.0129261909067315,0.247667445479471,0.298440763858041
"baseline[4]",61.9730882447475,61.9470238627756,2.22667370716298,57.5791311071837,66.337492779511
"beta",1.08292350405559,1.08286995232854,0.0111120908491248,1.06125914760627,1.10492398983534
"k",1.52709925819568,1.52709126418945,0.00525257180038971,1.51682324960907,1.53740289863313
